vehicle_id,class,class_agreement,n_frames,first_frame,last_frame,duration_sec,mean_confidence,max_confidence
1590,bike,1.0,63,213,322,2.52,0.4651,0.7609
1615,bike,1.0,23,218,247,0.92,0.3941,0.5669
1619,car,1.0,7,218,229,0.28,0.4196,0.466
1687,car,1.0,3,229,231,0.12,0.2985,0.3742
1692,bike,1.0,1,230,230,0.04,0.3453,0.3453
1720,bike,0.988,83,233,330,3.32,0.5894,0.837
1736,bus,1.0,24,235,266,0.96,0.2534,0.34
1737,bike,1.0,56,235,292,2.24,0.6902,0.8798
1740,bike,1.0,3,235,238,0.12,0.3562,0.4023
1755,car,1.0,1,238,238,0.04,0.4718,0.4718
1779,bus,0.833,12,241,252,0.48,0.5103,0.6418
1794,bike,1.0,162,243,417,6.48,0.716,0.8734
1823,bike,0.743,35,248,288,1.4,0.4902,0.8227
1835,bike,1.0,107,251,396,4.28,0.5662,0.7904
1846,bike,1.0,2,253,255,0.08,0.4049,0.5381
1886,bike,1.0,2,258,260,0.08,0.3407,0.4174
1896,bike,1.0,6,259,264,0.24,0.4267,0.4701
1907,bike,1.0,1,260,260,0.04,0.4204,0.4204
1916,bike,1.0,183,260,499,7.32,0.5578,0.8564
1940,bike,1.0,24,264,288,0.96,0.5744,0.7713
2015,bike,1.0,1,274,274,0.04,0.3771,0.3771
2023,bike,1.0,4,275,279,0.16,0.3497,0.3977
2063,bike,1.0,8,281,290,0.32,0.41,0.4578
2078,car,1.0,331,282,664,13.24,0.6364,0.8059
2093,rickshaw,1.0,1,285,285,0.04,0.3565,0.3565
2123,bike,1.0,86,289,374,3.44,0.7045,0.9065
2156,bike,1.0,29,294,333,1.16,0.5139,0.769
2166,car,1.0,3,295,297,0.12,0.316,0.3627
2183,bike,1.0,135,297,448,5.4,0.5949,0.8449
2225,bike,1.0,57,302,377,2.28,0.6387,0.8295
2242,bike,1.0,16,305,351,0.64,0.3726,0.4984
2291,bus,1.0,22,311,347,0.88,0.3018,0.4396
2311,bike,1.0,2,313,314,0.08,0.4007,0.4047
2318,bike,1.0,2,314,315,0.08,0.3777,0.3825
2420,bike,1.0,8,327,358,0.32,0.4094,0.6407
2422,bike,1.0,21,327,362,0.84,0.4857,0.7833
2448,car,1.0,1,331,331,0.04,0.3378,0.3378
2467,car,1.0,323,334,677,12.92,0.8298,0.9495
2480,bike,1.0,14,336,356,0.56,0.4206,0.5729
2482,bike,1.0,6,336,341,0.24,0.4887,0.6479
2495,bike,0.833,6,338,346,0.24,0.4805,0.7157
2561,bike,1.0,2,346,347,0.08,0.3775,0.4171
2615,bike,1.0,75,353,455,3.0,0.4548,0.7531
2627,car,1.0,245,354,598,9.8,0.841,0.9357
2637,bike,1.0,3,355,357,0.12,0.3621,0.3905
2650,bike,1.0,2,356,357,0.08,0.4051,0.469
2765,car,0.903,62,369,452,2.48,0.6136,0.8277
2781,bike,1.0,81,371,507,3.24,0.6137,0.8918
2783,bike,1.0,5,371,375,0.2,0.4059,0.4919
2794,bike,1.0,2,372,376,0.08,0.4007,0.4797
2802,bike,1.0,15,374,419,0.6,0.4263,0.679
2803,bike,1.0,1,374,374,0.04,0.3447,0.3447
2872,bike,1.0,3,382,384,0.12,0.359,0.3872
2895,bike,1.0,44,384,464,1.76,0.635,0.857
2902,bike,1.0,184,385,603,7.36,0.677,0.8754
2994,bike,1.0,2,399,400,0.08,0.3367,0.392
3010,bike,1.0,3,401,403,0.12,0.5423,0.5833
3015,bike,1.0,6,401,406,0.24,0.5434,0.6614
3023,bike,1.0,17,402,441,0.68,0.4035,0.5676
3034,bike,1.0,28,404,463,1.12,0.4613,0.7579
3041,bike,1.0,2,405,406,0.08,0.3791,0.4752
3051,bike,1.0,1,406,406,0.04,0.3604,0.3604
3058,bike,1.0,1,407,407,0.04,0.4907,0.4907
3059,bus,1.0,38,407,456,1.52,0.3636,0.5705
3076,bike,1.0,3,410,412,0.12,0.439,0.4617
3110,bike,1.0,4,415,419,0.16,0.4846,0.551
3120,bike,1.0,3,416,419,0.12,0.4,0.4261
3126,car,0.935,31,417,448,1.24,0.6721,0.9056
3139,bike,1.0,53,418,498,2.12,0.5868,0.8113
3151,bike,1.0,2,420,421,0.08,0.3939,0.4836
3152,car,1.0,247,420,678,9.88,0.5589,0.8638
3158,bike,1.0,2,421,422,0.08,0.3721,0.4537
3196,bike,1.0,33,425,470,1.32,0.5555,0.7384
3199,car,1.0,4,426,429,0.16,0.364,0.4962
3210,car,1.0,6,427,432,0.24,0.2785,0.3342
3249,bike,1.0,1,431,431,0.04,0.4407,0.4407
3301,car,1.0,2,435,436,0.08,0.4192,0.4316
3351,bike,1.0,2,440,441,0.08,0.4904,0.6632
3368,bike,1.0,1,442,442,0.04,0.4089,0.4089
3391,truck,0.818,33,444,489,1.32,0.5396,0.8367
3397,car,0.969,65,444,508,2.6,0.6713,0.8798
3433,car,0.909,165,449,653,6.6,0.5167,0.8133
3438,bike,1.0,1,449,449,0.04,0.4995,0.4995
3452,bike,1.0,1,451,451,0.04,0.4156,0.4156
3486,bike,1.0,46,454,511,1.84,0.4636,0.7206
3528,bike,1.0,3,460,462,0.12,0.5283,0.5797
3556,bike,1.0,57,466,542,2.28,0.3871,0.6546
3570,bike,0.955,44,468,542,1.76,0.5478,0.7579
3582,bike,1.0,63,469,569,2.52,0.5032,0.7522
3643,bike,1.0,3,474,476,0.12,0.3643,0.4333
3664,truck,0.714,7,476,489,0.28,0.3637,0.4937
3679,bike,1.0,31,478,515,1.24,0.4179,0.5908
3753,bike,1.0,3,487,489,0.12,0.31,0.3487
3766,bike,1.0,2,490,491,0.08,0.3215,0.3924
3778,car,0.667,3,493,497,0.12,0.2857,0.3449
3800,bike,1.0,2,496,497,0.08,0.4119,0.4316
3804,rickshaw,0.833,12,497,508,0.48,0.3608,0.538
3849,car,1.0,3,506,508,0.12,0.3702,0.4713
3906,car,0.8,5,521,529,0.2,0.3428,0.4115
3907,bike,1.0,1,522,522,0.04,0.3423,0.3423
3917,truck,0.445,182,526,742,7.28,0.5143,0.7677
3923,bike,1.0,3,527,529,0.12,0.4501,0.5465
3934,car,1.0,15,528,543,0.6,0.4168,0.6015
3945,bike,1.0,4,530,536,0.16,0.4682,0.6588
3980,car,0.833,12,535,546,0.48,0.4365,0.5635
3998,bike,1.0,40,540,579,1.6,0.621,0.7929
4002,bike,1.0,14,541,556,0.56,0.4492,0.7276
4003,bike,1.0,152,542,732,6.08,0.5874,0.8744
4014,bike,1.0,15,545,562,0.6,0.3135,0.4162
4019,bike,1.0,2,546,547,0.08,0.3074,0.3915
4040,bike,1.0,3,550,552,0.12,0.384,0.5402
4050,bike,1.0,3,553,558,0.12,0.3699,0.4477
4065,bike,0.966,88,556,644,3.52,0.7001,0.9026
4079,truck,0.833,6,558,565,0.24,0.3851,0.5171
4087,car,1.0,4,560,563,0.16,0.4186,0.5089
4089,car,0.982,110,560,669,4.4,0.7417,0.9177
4116,rickshaw,1.0,2,567,569,0.08,0.3445,0.3898
4117,bus,1.0,14,567,580,0.56,0.5804,0.8047
4129,bike,1.0,93,570,705,3.72,0.4687,0.6984
4152,car,1.0,376,574,949,15.04,0.8985,0.948
4270,bike,1.0,58,592,660,2.32,0.5028,0.8027
4295,bike,1.0,1,595,595,0.04,0.5463,0.5463
4341,bike,1.0,295,604,912,11.8,0.5028,0.8375
4379,bike,1.0,3,611,613,0.12,0.3807,0.4815
4395,bike,1.0,1,613,613,0.04,0.507,0.507
4398,car,0.99,201,614,814,8.04,0.7005,0.9388
4403,bike,1.0,6,614,619,0.24,0.4804,0.6005
4463,bike,1.0,7,624,630,0.28,0.4808,0.7829
4469,bike,1.0,44,625,700,1.76,0.481,0.6742
4495,car,0.714,7,630,637,0.28,0.425,0.5673
4518,bike,1.0,62,635,773,2.48,0.5046,0.7521
4532,bike,1.0,2,637,638,0.08,0.3256,0.3671
4581,bike,1.0,6,644,649,0.24,0.3492,0.4329
4606,rickshaw,0.875,24,649,672,0.96,0.6927,0.9445
4630,bike,1.0,6,655,660,0.24,0.4242,0.5439
4644,bike,1.0,2,658,661,0.08,0.3974,0.4547
4683,car,0.957,94,668,780,3.76,0.5707,0.8727
4690,car,0.993,281,669,949,11.24,0.9244,0.9551
4728,car,0.957,47,675,721,1.88,0.6061,0.8506
4729,bike,1.0,18,675,731,0.72,0.3559,0.5032
4738,car,1.0,262,676,949,10.48,0.5189,0.7085
4748,bike,1.0,18,677,694,0.72,0.4575,0.6467
4761,car,0.5,2,680,681,0.08,0.4722,0.5093
4821,car,1.0,1,693,693,0.04,0.33,0.33
4851,car,0.842,19,699,717,0.76,0.5717,0.7326
4868,bike,1.0,235,701,949,9.4,0.7521,0.8848
4878,car,1.0,186,702,949,7.44,0.4588,0.6725
4911,bike,1.0,58,707,765,2.32,0.6607,0.8552
4961,bike,1.0,3,717,719,0.12,0.3937,0.5395
4965,bike,1.0,12,717,775,0.48,0.418,0.7336
4973,bike,1.0,2,719,720,0.08,0.3979,0.4904
5021,bus,1.0,190,727,935,7.6,0.3706,0.6057
5124,bike,1.0,12,739,777,0.48,0.3685,0.5784
5162,rickshaw,1.0,2,744,745,0.08,0.3124,0.334
5170,bike,1.0,1,745,745,0.04,0.3706,0.3706
5171,bike,1.0,110,745,949,4.4,0.5559,0.8201
5205,bike,0.99,105,749,944,4.2,0.4668,0.7368
5223,bike,1.0,10,751,762,0.4,0.4744,0.6933
5262,bike,1.0,2,758,759,0.08,0.38,0.4812
5281,bike,1.0,2,761,762,0.08,0.4448,0.5435
5284,bike,1.0,18,761,786,0.72,0.4309,0.5606
5303,bike,1.0,3,765,767,0.12,0.4567,0.5125
5389,car,0.873,166,776,949,6.64,0.8552,0.9378
5434,rickshaw,0.6,10,781,790,0.4,0.6568,0.8632
5439,bus,1.0,2,782,814,0.08,0.294,0.349
5471,bike,1.0,3,787,789,0.12,0.3962,0.4723
5500,bike,1.0,1,790,790,0.04,0.4182,0.4182
5519,bike,1.0,5,792,796,0.2,0.5106,0.6321
5591,bike,1.0,2,806,807,0.08,0.3528,0.3845
5594,bike,1.0,1,807,807,0.04,0.3549,0.3549
5607,rickshaw,0.6,5,809,813,0.2,0.5939,0.7653
5641,bike,1.0,100,815,949,4.0,0.4235,0.7266
5647,rickshaw,1.0,1,816,816,0.04,0.3609,0.3609
5762,car,1.0,111,839,949,4.44,0.3476,0.466
5790,bike,1.0,1,847,847,0.04,0.3707,0.3707
5795,rickshaw,0.634,101,848,949,4.04,0.551,0.8589
5832,bike,1.0,1,857,857,0.04,0.4354,0.4354
5860,bike,1.0,1,865,865,0.04,0.4202,0.4202
5869,bike,1.0,83,867,949,3.32,0.6686,0.8394
5903,bike,1.0,3,874,876,0.12,0.5584,0.6045
5937,bus,1.0,11,882,897,0.44,0.2662,0.349
5946,car,0.985,65,885,949,2.6,0.6425,0.7295
5970,bike,1.0,57,892,949,2.28,0.6548,0.8514
6006,bike,1.0,3,904,906,0.12,0.3799,0.3998
6029,bike,1.0,19,908,948,0.76,0.445,0.6574
6031,bike,1.0,1,909,909,0.04,0.3618,0.3618
6099,bike,1.0,8,925,949,0.32,0.4806,0.6519
