group,image_path,image_name,exec_success,error_msg,plate_detected,detection_confidence,bbox,iou_gt,crop_width,crop_height,aspect_ratio,selected_variant,composite_score,raw_ocr_text,cleaned_text,plate_text,ocr_confidence,plate_type,is_valid_indian_format,error_category,processing_time_ms
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/DL33.jpg,DL33.jpg,True,,True,0.837,"[94, 271, 168, 292]",0.0505,74,21,3.52,V2_ADAPTIVE_BINARIZE,0.6761,OLZCN7z31,OLZCN7Z31,OLZCN7Z31,0.352,UNKNOWN,False,3. Extremely small plate resolution,870.86
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/GJ13.jpg,GJ13.jpg,True,,True,0.888,"[94, 142, 180, 163]",0.1575,86,21,4.1,V1_GRAY_CLAHE,0.6826,GJogkP8508,GJOGKP8508,GJ06KP8508,0.207,INDIAN,True,3. Extremely small plate resolution,1011.35
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/GJ29.jpg,GJ29.jpg,True,,True,0.854,"[105, 138, 165, 154]",0.1566,60,16,3.75,V1_GRAY_CLAHE,0.6135,630137540,630137540,630137540,0.034,UNKNOWN,False,3. Extremely small plate resolution,1091.31
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/HP4.jpg,HP4.jpg,True,,True,0.82,"[60, 226, 131, 246]",0.0562,71,20,3.55,V2_ADAPTIVE_BINARIZE,0.5264,HagEez52,HAGEEZ52,HAGEEZ52,0.053,UNKNOWN,False,3. Extremely small plate resolution,980.94
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/HP9.jpg,HP9.jpg,True,,True,0.863,"[87, 195, 162, 218]",0.0937,75,23,3.26,V2_ADAPTIVE_BINARIZE,0.7656,APig 4 6363,APIG46363,AP16A6363,0.482,INDIAN,True,3. Extremely small plate resolution,846.89
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/JH12.jpg,JH12.jpg,True,,True,0.824,"[76, 305, 166, 334]",0.0524,90,29,3.1,V0_COLOR_CLAHE,0.7164,JH014X53921,JH014X53921,JH01AXS3921,0.291,INDIAN,True,3. Extremely small plate resolution,805.61
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/JH3.jpg,JH3.jpg,True,,True,0.87,"[109, 131, 167, 146]",0.2309,58,15,3.87,V2_ADAPTIVE_BINARIZE,0.6675,JHO DB 3881,JHODB3881,JH0DB3881,0.237,INDIAN,True,3. Extremely small plate resolution,990.87
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/JK32.jpg,JK32.jpg,True,,True,0.87,"[163, 199, 211, 219]",0.2018,48,20,2.4,V2_ADAPTIVE_BINARIZE,0.3157,J(OEi,JOEI,JOEI,0.011,UNKNOWN,False,3. Extremely small plate resolution,648.35
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/KA18.jpg,KA18.jpg,True,,True,0.827,"[105, 126, 154, 140]",0.1724,49,14,3.5,V2_ADAPTIVE_BINARIZE,0.5286,KI dq4312,KIDQ4312,KIDQ4312,0.102,UNKNOWN,False,3. Extremely small plate resolution,1006.09
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/KA8.jpg,KA8.jpg,True,,True,0.808,"[111, 161, 193, 180]",0.1505,82,19,4.32,V0_COLOR_CLAHE,0.516,7433 5069,74335069,74335069,0.077,UNKNOWN,False,3. Extremely small plate resolution,1053.12
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/LA1.jpg,LA1.jpg,True,,True,0.833,"[79, 181, 144, 202]",0.0866,65,21,3.1,V2_ADAPTIVE_BINARIZE,0.6882,LA0z 0z9,LA0Z0Z9,LA02029,0.33,INDIAN,True,3. Extremely small plate resolution,809.09
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/ML11.jpg,ML11.jpg,True,,True,0.863,"[46, 77, 115, 107]",0.3014,69,30,2.3,V2_ADAPTIVE_BINARIZE,0.5738,AloSL 1434,ALOSL1434,ALOSL1434,0.188,UNKNOWN,False,3. Extremely small plate resolution,734.19
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/ML37.jpg,ML37.jpg,True,,True,0.821,"[112, 91, 156, 103]",0.0,44,12,3.67,V2_ADAPTIVE_BINARIZE,0.4555,ULIEQ2,ULIEQ2,ULIEQ2,0.061,UNKNOWN,False,3. Extremely small plate resolution,1057.83
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/ML5.jpg,ML5.jpg,True,,True,0.818,"[102, 219, 158, 235]",0.0511,56,16,3.5,V0_COLOR_CLAHE,0.5071,Fu05dd52v,FU05DD52V,FU05DD52V,0.014,UNKNOWN,False,3. Extremely small plate resolution,1066.59
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/MP1.jpg,MP1.jpg,True,,True,0.808,"[89, 266, 171, 288]",0.047,82,22,3.73,V1_GRAY_CLAHE,0.6238,Mpo48535461,MPO48535461,MP04BSJ5461,0.059,INDIAN,True,3. Extremely small plate resolution,1047.12
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/NL4.jpg,NL4.jpg,True,,True,0.829,"[175, 387, 234, 420]",0.0689,59,33,1.79,V1_GRAY_CLAHE,0.5203,4L 02c = 1917,4L02C1917,4L02C1917,0.164,UNKNOWN,False,3. Extremely small plate resolution,605.27
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/OD10.jpg,OD10.jpg,True,,True,0.849,"[95, 244, 181, 265]",0.054,86,21,4.1,V1_GRAY_CLAHE,0.7179,OD 05K6964,OD05K6964,OD05K6964,0.332,INDIAN,True,3. Extremely small plate resolution,986.75
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/PY14.jpg,PY14.jpg,True,,True,0.778,"[110, 222, 184, 251]",0.1036,74,29,2.55,V1_GRAY_CLAHE,0.6596,PY 0102412,PY0102412,PY01O2412,0.187,INDIAN,True,3. Extremely small plate resolution,695.36
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/RJ2.jpg,RJ2.jpg,True,,True,0.849,"[98, 114, 174, 138]",0.3588,76,24,3.17,V0_COLOR_CLAHE,0.557,ERII4CYIW5,ERII4CYIW5,ERII4CYIW5,0.114,UNKNOWN,False,3. Extremely small plate resolution,872.82
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/RJ7.jpg,RJ7.jpg,True,,True,0.872,"[90, 254, 182, 277]",0.0621,92,23,4.0,V1_GRAY_CLAHE,0.7967,RJZZCBL320,RJZZCBL320,RJ22CB1320,0.492,INDIAN,True,3. Extremely small plate resolution,957.24
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/SK3.jpg,SK3.jpg,True,,True,0.848,"[103, 235, 182, 256]",0.0658,79,21,3.76,V1_GRAY_CLAHE,0.719,SKOIP47Z08,SKOIP47Z08,SK01PA7208,0.298,INDIAN,True,3. Extremely small plate resolution,930.43
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/SK8.jpg,SK8.jpg,True,,True,0.869,"[32, 186, 98, 223]",0.1013,66,37,1.78,V2_ADAPTIVE_BINARIZE,0.6492,Stoip15j49,STOIP15J49,STOIP15J49,0.298,UNKNOWN,False,3. Extremely small plate resolution,580.44
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/TN4.jpg,TN4.jpg,True,,True,0.883,"[92, 147, 174, 168]",0.1419,82,21,3.9,V2_ADAPTIVE_BINARIZE,0.6854,IdH 10 AR 0131,IDH10AR0131,IDH10AR0131,0.456,UNKNOWN,False,3. Extremely small plate resolution,1054.41
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/TN8.jpg,TN8.jpg,True,,True,0.884,"[87, 68, 172, 94]",0.0,85,26,3.27,V2_ADAPTIVE_BINARIZE,0.7,WOz AP 0659,WOZAP0659,WOZAP0659,0.473,UNKNOWN,False,3. Extremely small plate resolution,886.71
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/TR1.jpg,TR1.jpg,True,,True,0.868,"[83, 91, 164, 114]",0.3775,81,23,3.52,V0_COLOR_CLAHE,0.7612,TR05B0308,TR05B0308,TR05B0308,0.403,INDIAN,True,3. Extremely small plate resolution,894.5
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/UK9.jpg,UK9.jpg,True,,True,0.793,"[95, 332, 172, 355]",0.0402,77,23,3.35,V2_ADAPTIVE_BINARIZE,0.7125,UKo6 J3951,UKO6J3951,UK06J3951,0.319,INDIAN,True,3. Extremely small plate resolution,825.57
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/UP10.jpg,UP10.jpg,True,,True,0.814,"[95, 273, 186, 292]",0.0309,91,19,4.79,V1_GRAY_CLAHE,0.713,Up78 DB 3730,UP78DB3730,UP78DB3730,0.345,INDIAN,True,3. Extremely small plate resolution,1232.44
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/UP20.jpg,UP20.jpg,True,,True,0.892,"[102, 148, 175, 168]",0.1467,73,20,3.65,V2_ADAPTIVE_BINARIZE,0.707,UPILak86o4,UPILAK86O4,UP11AK8604,0.268,INDIAN,True,3. Extremely small plate resolution,1012.71
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/WB9.jpg,WB9.jpg,True,,True,0.837,"[92, 202, 152, 221]",0.0693,60,19,3.16,V1_GRAY_CLAHE,0.5581,N802 445580,N802445580,N802445580,0.153,UNKNOWN,False,3. Extremely small plate resolution,823.85
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/af36405d-be93-4c8c-b1b2-5a0832535eeb___main-qimg-4caf07f4dfd9e2a2d279ddd54fb91986-c.jpg.jpg,af36405d-be93-4c8c-b1b2-5a0832535eeb___main-qimg-4caf07f4dfd9e2a2d279ddd54fb91986-c.jpg.jpg,True,,True,0.834,"[118, 162, 243, 201]",0.3015,125,39,3.21,V1_GRAY_CLAHE,0.6076,[N59407515,N59407515,N59407515,0.255,UNKNOWN,False,3. Extremely small plate resolution,871.92
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/ba457a81-cf10-4879-8e8f-3a0a8d10689a___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_hqdefault.jpg,ba457a81-cf10-4879-8e8f-3a0a8d10689a___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_hqdefault.jpg,True,,True,0.824,"[181, 200, 280, 223]",0.3333,99,23,4.3,V1_GRAY_CLAHE,0.5051,IuWIC 0be0,IUWIC0BE0,IUWIC0BE0,0.05,UNKNOWN,False,3. Extremely small plate resolution,1272.77
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/car-wbs-HR26CB1900_00000.jpg,car-wbs-HR26CB1900_00000.jpg,True,,True,0.789,"[164, 221, 221, 238]",0.0972,57,17,3.35,V1_GRAY_CLAHE,0.691,hRz6 CB 4o,HRZ6CB4O,HR26C840,0.303,INDIAN,False,3. Extremely small plate resolution,1102.5
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/car-wbs-KA29Z999_00000.jpg,car-wbs-KA29Z999_00000.jpg,True,,True,0.85,"[147, 220, 338, 267]",0.2213,191,47,4.06,V0_COLOR_CLAHE,0.6048,ANO KA 29 Z 999],ANOKA29Z999,AN0KAZP2999,0.442,INDIAN,False,11. Character confusion / Non-standard Indian format,1103.6
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/car-wbs-MH06AW8929_00000.jpg,car-wbs-MH06AW8929_00000.jpg,True,,True,0.875,"[25, 173, 162, 232]",0.1587,137,59,2.32,V1_GRAY_CLAHE,0.726,Mho6 _ 8929],MHO68929,MH068929,0.44,INDIAN,True,14. General low confidence / Unknown ambiguity,512.37
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/car-wbs-MH14EH7958_00001.jpg,car-wbs-MH14EH7958_00001.jpg,True,,True,0.853,"[76, 72, 247, 113]",1.1645,171,41,4.17,V0_COLOR_CLAHE,0.6708,"""HH 14EH7958",HH14EH7958,HH14EH7958,0.408,UNKNOWN,False,14. General low confidence / Unknown ambiguity,1030.72
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/car-wbs-MH20DJ0419_00000.jpg,car-wbs-MH20DJ0419_00000.jpg,True,,True,0.855,"[32, 155, 176, 199]",0.143,144,44,3.27,V0_COLOR_CLAHE,0.7585,MHZODJ0419,MHZODJ0419,MH20DJ0419,0.396,INDIAN,True,4. Blur / Low contrast / Noise,837.88
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/car-wbs-TN19S4523_00000.jpg,car-wbs-TN19S4523_00000.jpg,True,,True,0.834,"[152, 179, 214, 195]",0.1789,62,16,3.88,V2_ADAPTIVE_BINARIZE,0.6581,TN 195 4523,TN1954523,TN19S4523,0.213,INDIAN,True,3. Extremely small plate resolution,1078.58
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/car-wbs-TN21AU1153_00000.jpg,car-wbs-TN21AU1153_00000.jpg,True,,True,0.845,"[65, 216, 135, 243]",0.0812,70,27,2.59,V2_ADAPTIVE_BINARIZE,0.7032,TnzIAv {053,TNZIAV053,TN2IAV053,0.326,INDIAN,False,3. Extremely small plate resolution,829.72
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/car-ybs-MH43BP8173_00000.jpg,car-ybs-MH43BP8173_00000.jpg,True,,True,0.877,"[180, 349, 329, 401]",0.1223,149,52,2.87,V2_ADAPTIVE_BINARIZE,0.5482,"""KhLzbpb173",KHLZBPB173,KHLZBPB173,0.133,UNKNOWN,False,4. Blur / Low contrast / Noise,864.37
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/car-ybs-MH46AD5258_00001.jpg,car-ybs-MH46AD5258_00001.jpg,True,,True,0.879,"[156, 152, 302, 194]",1.0043,146,42,3.48,V0_COLOR_CLAHE,0.7227,MHAG.AD 5258,MHAGAD5258,MH46AD5258,0.369,INDIAN,True,4. Blur / Low contrast / Noise,945.18
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/f5bbb8da-dddd-47ae-a46c-15492f9cf752___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_10187746544_0c0822790e - Copy.jpg,f5bbb8da-dddd-47ae-a46c-15492f9cf752___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_10187746544_0c0822790e - Copy.jpg,True,,True,0.831,"[103, 183, 156, 198]",0.0668,53,15,3.53,V2_ADAPTIVE_BINARIZE,0.7156,TC210723,TC210723,TC210723,0.431,UNKNOWN,False,3. Extremely small plate resolution,1028.4
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/fda5760a-c6ff-43a9-8ce7-61e808f109ea___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_nissan_terrano_ii_nissan_terrano_ii_2_7_tdi_se_4x4_3330085523722771900.jpg,fda5760a-c6ff-43a9-8ce7-61e808f109ea___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_nissan_terrano_ii_nissan_terrano_ii_2_7_tdi_se_4x4_3330085523722771900.jpg,True,,True,0.842,"[466, 281, 551, 354]",0.0,85,73,1.16,V2_ADAPTIVE_BINARIZE,0.49,HD0Ze NN,HD0ZENN,HD0ZENN,0.105,UNKNOWN,False,10. Multi-line / square plate layout,477.49
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/video10_110.jpg,video10_110.jpg,True,,True,0.797,"[114, 598, 207, 631]",0.0318,93,33,2.82,V0_COLOR_CLAHE,0.6854,MHOZEKO837,MHOZEKO837,MH02EK0837,0.214,INDIAN,True,3. Extremely small plate resolution,777.26
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/video10_1270.jpg,video10_1270.jpg,True,,True,0.866,"[556, 513, 956, 620]",3.5869,400,107,3.74,V1_GRAY_CLAHE,0.7016,NHO5dS8679,NHO5DS8679,NHO5DS8679,0.403,UNKNOWN,False,14. General low confidence / Unknown ambiguity,657.99
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/video10_1420.jpg,video10_1420.jpg,True,,True,0.838,"[103, 493, 340, 572]",0.0783,237,79,3.0,V2_ADAPTIVE_BINARIZE,0.4487,muae,MUAE,MUAE,0.197,UNKNOWN,False,4. Blur / Low contrast / Noise,902.81
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/video10_860.jpg,video10_860.jpg,True,,True,0.826,"[556, 309, 688, 351]",0.0,132,42,3.14,V2_ADAPTIVE_BINARIZE,0.5031,QHO UAVOOSS,QHOUAVOOSS,QHOUAVOOSS,0.043,UNKNOWN,False,4. Blur / Low contrast / Noise,920.53
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/video10_880.jpg,video10_880.jpg,True,,True,0.821,"[666, 199, 789, 239]",0.0,123,40,3.08,V1_GRAY_CLAHE,0.5569,Who _auoo59,WHOAUOO59,WHOAUOO59,0.187,UNKNOWN,False,4. Blur / Low contrast / Noise,845.78
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/video11_1270.jpg,video11_1270.jpg,True,,True,0.852,"[156, 391, 314, 433]",0.0699,158,42,3.76,V2_ADAPTIVE_BINARIZE,0.7003,QHOIDB 1 L77,QHOIDB1L77,QHOIDB1L77,0.467,UNKNOWN,False,14. General low confidence / Unknown ambiguity,1028.39
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/video11_1660.jpg,video11_1660.jpg,True,,True,0.857,"[210, 215, 331, 254]",0.7686,121,39,3.1,V1_GRAY_CLAHE,0.5822,MI.02KQ.9626,MI02KQ9626,MI02KQ9626,0.231,UNKNOWN,False,3. Extremely small plate resolution,803.84
